1代,False,,,,0
太空杯500ml,True,FGA-102,件(48只),430×290×365,3.8
M33*2塑料套,True,,只,,0.1
31.5轴套,True,,只,,0.1
Φ10塑料堵头,True,,只,,0.08
400ml采样杯,True,,只,,20
淬火件,True,,公斤,,0.01
100ml采样杯,True,,只,,12
太空杯650ml,True,FGA-103,件(48只),490×330×370,4.4
太空杯800ml,True,FGA-104,件(48只),490×330×405,5.2
太空杯1000ml,True,FGA-105,件(48只),550×370×435,6.4
太空杯1500ml,True,FGA-106,件(48只),620×410×530,8.8
太空杯2000ml,True,FGA-107,件(30只),575×345×565,10.2
850直筒太空杯,True,FGA-107,件(48只),,9.5
M16*1.5塑料堵,True,,只,,0.08
35堵头,True,,只,,0.08
奇兵,False,,,,0
奇兵太空杯400ml,True,FGA-1346,件(48只),,4.2
奇兵太空杯500ml,True,FGA-1345,件(48只),,4.6
奇兵太空杯650ml,True,FGA-1344,件(48只),,5.2
奇兵水壶550ml,True,FGA-1343,件(48只),,5.4
FGA玻璃,False,,,,0
G001-280玻璃杯,True,G001-280,件(20只),625×450×260,21.8
FGA富光玻璃办公杯,True,FB1003-320B,件(20只),,17.5
FGA富光玻璃口杯,True,FB1004-280,件(30只),,17.8
FGA富光玻璃办公杯,True,FB1004-320B,件(20只),,22
FGA富光玻璃口杯,True,FB1005-280,件(20只),,14.8
FGA富光玻璃口杯,True,FB1005-320,件(20只),,16.8
FGA富光玻璃办公杯,True,FB1005-320B,件(20只),,19
FGA富光玻璃口杯,True,FB1006-200,件(30只),,12.7
FGA富光玻璃口杯,True,FB1006-280,件(30只),,13.6
FGA富光玻璃口杯,True,FB1007-280,件(20只),,37.5
FGA富光玻璃口杯,True,FB1008-280,件(30只),,8.5
G001-320玻璃杯,True,G001-320,件(20只),625×450×260,23.8
FGA富光玻璃口杯,True,FB1008-320,件(30只),,9.5
FGA富光玻璃办公杯,True,FB1008-320B,件(20只),,11.3
FGA富光水晶玻璃口杯,True,FB1010-280,件(20只),,88
FGA富光水晶玻璃办公杯,True,FB1010-320B,件(16只),,98
FGA富光单层玻璃杯,True,FB6001-280,件(40只),,8.4
FGA富光单层玻璃杯,True,FB6001-460,件(40只),,9
FGA富光单层玻璃办公杯,True,FB6001-480B,件(20只),,16.2
G005-280玻璃杯,True,G005-280,件(18只),,22.5
G005-320玻璃杯,True,G005-320,件(18只),,22.8
G005-240A玻璃口杯,True,G005-240A,件(40只),,16.8
G001-320B玻璃杯,True,G001-320B,件(20只),625×450×260,27.8
FGA富光玻璃口杯,True,FB1001-280,件(30只),,14
FGA富光玻璃口杯,True,FB1001-320,件(30只),,15
FGA富光玻璃口杯,True,FB1001-320B,件(20只),,18.3
特制G001-500玻璃杯,True,,只,,36.8
FGA富光玻璃口杯,True,FGA.S305-280,件(30只),,13.6
FGA富光玻璃口杯,True,FB1009-280,件(30只),,9.6
FGA富光玻璃口杯,True,FB1009-320B,件(20只),,12
FGA富光玻璃口杯,True,FB1011-500,件(30只),,18
FGA富光玻璃口杯,True,FB1013-280,件(30只),,29
FGA富光玻璃口杯,True,FB1014-320,件(30只),,26
FGA富光玻璃口杯,True,FB1002-280,件(30只),,15.7
FGA富光玻璃口杯外箱,True,FB6001-280,只,,1.29
FGA富光玻璃口杯外箱,True,FB6001-480B,只,,2.09
FGA富光玻璃口杯外箱,True,FB1001-280,只,,1.52
FGA富光玻璃口杯外箱,True,FB1001-320,只,,1.71
G008-240A玻璃口杯,True,G008-240A,件(30只),,14.8
G008-200玻璃口杯,True,G008-200,件(30只),,13.8
G008-280玻璃口杯,True,G008-280,件(30只),,15.8
G008-300玻璃口杯,True,G008-300,件(30只),,8.8
G008-400玻璃口杯,True,G008-400,件(30只),,10.8
G008-350玻璃口杯,True,G008-350,件(30只),,9.8
FGA富光玻璃口杯,True,FB1002-320,件(30只),,16.8
悠乐水韵玻璃杯,True,YS-2002,件(30只),,13.6
悠乐水韵玻璃办公杯,True,YS-2002B,件(20只),,18
G008大口单层玻璃杯,True,G008-520,件(30只),,12.8
G008大口单层玻璃杯,True,G008-360,件(30只),,10.8
G008大口双层玻璃杯,True,G008-320,件(30只),,18.8
G008大口双层玻璃杯,True,G008-260,件(30只),,16.8
360ml单层玻璃水晶杯,True,,只,,14.2
FGA富光玻璃办公杯,True,FB1002-320B,件(20只),,18.9
FGA富光玻璃口杯,True,FB1003-200,件(30只),,13.6
FGA富光玻璃口杯,True,FB1003-280,件(30只),,14.5
FGA富光玻璃口杯,True,FB1003-320,件(30只),,15.5
FGA塑胶,False,,,,0
特精彩休闲玻璃杯,True,221A-320,件(30只),520×435×180,16.8
FGA富光太空杯,True,FS1004-800,件(40只),,7.2
FGA富光太空杯,True,FS1018-750-2,件(40只),,8.8
FGA富光太空杯,True,FS1029-400-2,件(40只),,4.7
FGA富光太空杯,True,FS1029-400-3,件(40只),,4.7
FGA富光太空杯,True,FS1033-500,件(40只),,5.7
FGA富光太空杯,True,FS1021-330,件(40只),,6.7
FGA富光太空杯,True,FS1039-450,件(40只),,6.4
FGA富光太空杯,True,FS1016-650,件(40只),,5.2
FGA富光太空杯,True,FS1016-800,件(40只),,6.5
FGA富光太空杯,True,FS1031-800,件(40只),,9.8
FGA富光太空杯,True,FS1036-500,件(40只),,11.5
FGA富光太空杯,True,FS1005-400,件(40只),,6.1
FGA富光太空杯,True,FGA.S104-600,件(40只),,7.2
FGA富光太空杯,True,FGA.S103-500,件(40只),,5.8
FGA富光太空杯,True,FGA.S201-500,件(40只),,11.7
FGA富光口杯,True,FGA.S202-380,件(40只),,10.4
FGA富光口杯,True,FGA.S203-320,件(40只),,7
FGA富光口杯,True,FS6018-380,件(40只),,11.8
FGA富光口杯,True,FS1032-300,件(40只),,4.6
FGA富光口杯外箱,True,FS1008-800,只,,2.06
FGA富光口杯外箱,True,FS1003-500,只,,1.67
FGA富光口杯外箱,True,FS1001-650,只,,2.04
FGA富光太空杯,True,FS1005-600,件(40只),,7.2
FGA富光太空杯,True,FS1021-330-2,件(40只),,6.7
FGA富光太空杯,True,FS1021-450,件(40只),,6.7
FGA富光太空杯,True,FS1035-500,件(40只),,7.6
FGA富光太空杯,True,FGA.S405-500,件(30只),,26.8
FGA富光太空杯,True,FS1037-500,件(40只),,8.6
FGA富光太空杯,True,FS1037-650,件(40只),,9
FGA富光太空杯,True,FS1037-800,件(40只),,9.5
FGA富光太空杯,True,FS1035-680,件(40只),,8.6
FGA富光太空杯,True,FS1041-500,件(40只),,5.8
FGA富光太空杯,True,FS1041-800,件(40只),,6.8
FGA富光太空杯,True,FS1006-600,件(40只),,6.7
FGA富光太空杯,True,FS1042-500,件(40只),,6
FGA富光太空杯,True,FS1041-650,件(40只),,6.2
FGA富光太空杯,True,FS1042-650,件(40只),,6.6
FGA富光太空杯,True,FS1013-600-1,件(40只),,7.2
FGA富光太空杯,True,FS1035-500-2,件(40只),,7.6
FGA富光太空杯,True,FS1035-680-2,件(40只),,8.6
FGA富光太空杯,True,FS1007-500,件(40只),,7.4
FGA富光太空杯,True,FS1008-600,件(40只),,12.5
FGA富光太空杯,True,FS1008-800,件(40只),,14.6
FGA富光太空杯,True,FS1009-1000,件(40只),,8.6
FGA富光太空杯,True,FS1009-400,件(40只),,5.2
FGA富光太空杯,True,FS1009-500,件(40只),,5.8
大精彩休闲玻璃杯,True,221A-260,件(30只),495×435×180,14.8
FGA富光太空杯,True,FS1009-800,件(40只),,7.6
FGA富光太空杯,True,FS1010-360,件(40只),,17.3
FGA富光太空杯,True,FS1010-420,件(40只),,19
FGA富光太空杯,True,FS1011-500,件(40只),,11.7
FGA富光太空杯,True,FS1011-600,件(40只),,12.7
FGA富光太空杯,True,FS1012-500,件(40只),,6.5
FGA富光太空杯,True,FS1012-600,件(40只),,6.7
FGA富光太空杯,True,FS1012-800,件(40只),,7.4
FGA富光太空杯,True,FS1013-600,件(40只),,7.2
